,igdb_game_string,igdb_series
188,lara-croft-tomb-raider-the-angel-of-darkness,no
189,tom-clancys-splinter-cell-pandora-tomorrow,no
190,prototype,yes
191,star-wars-episode-iii-revenge-of-the-sith,yes
192,transformers-autobots-decepticons,no
193,ben-10-protector-of-earth,yes
194,bayonetta,yes
195,star-wars-episode-1-jedi-power-battles,no
196,the-lord-of-the-rings-the-fellowship-of-the-ring,yes
197,mad-max-2013,no
198,enter-the-matrix,yes
199,spongebob-squarepants-revenge-of-the-flying-dutchman,no
200,metal-gear-solid-portable-ops,yes
201,hitman-2-silent-assassin,yes
202,spider-man-the-movie,no
203,lego-dimensions,yes
204,lego-star-wars-iii-the-clone-wars,yes
205,red-dead-redemption-undead-nightmare,yes
206,mission-impossible,yes
207,sunset-overdrive,no
208,mirrors-edge,yes
209,lego-star-wars-the-video-game,yes
210,gauntlet-dark-legacy,yes
211,kaboom,no
212,doraemon,yes
213,middle-earth-shadow-of-war,yes
214,lego-marvel-super-heroes,yes
215,lego-star-wars-iii-the-clone-wars,yes
216,action-bass,no
217,tenchu-wrath-of-heaven,yes
218,the-lord-of-the-rings-the-return-of-the-king,yes
219,lego-star-wars-the-video-game,yes
220,mirrors-edge,yes
221,spider-man-2,yes
222,transformers-the-game,yes
223,lego-marvel-super-heroes-2,yes
224,castlevania-lords-of-shadow,yes
225,tom-clancys-splinter-cell-chaos-theory,no
226,red-dead-redemption-undead-nightmare,yes
227,metal-gear-solid-hd-collection,yes
228,lego-star-wars-iii-the-clone-wars,yes
229,toy-story-3-the-video-game,yes
230,bully-scholarship-edition,yes
231,star-wars-the-force-unleashed,yes
232,the-godfather,yes
233,dantes-inferno,no
234,disneys-lilo-amp-stitch,no
235,lego-star-wars-ii-the-original-trilogy,yes
236,hulk,yes
237,darksiders,yes
238,lego-marvel-super-heroes-universe-in-peril,no
239,the-evil-within-2,yes
240,disney-universe,yes
241,lego-pirates-of-the-caribbean-the-video-game,yes
242,nioh,no
243,guinness-world-records-the-videogame,no
244,tomb-raider,yes
245,lego-jurassic-world,yes
246,the-lost-world-jurassic-park,yes
