,igdb_game_string,igdb_series
3893,murder-in-venice,no
3894,cloudy-with-a-chance-of-meatballs,no
3895,gray-matter,no
3896,harvey-birdman-attorney-at-law,yes
3897,martian-panic,no
3898,tokimeki-memorial-girls-side,no
3899,adventure-time-the-secret-of-the-nameless-kingdom,yes
3900,the-hidden,no
3901,the-spiderwick-chronicles,no
3902,meitantei-conan-amp-kindaichi-shounen-no-jikenbou-meguri-au-futari-no-meitantei,no
3903,the-sexy-brutale,no
3904,man-vs-wild,no
3905,happy-feet-two,yes
3906,loading-human,no
3907,toradora-portable,no
3908,root-letter,yes
3909,sherlock-holmes-crimes-amp-punishments,no
3910,minecraft-story-mode-season-two,yes
3911,sentimental-graffiti-2,no
3912,witches-amp-vampires-the-secrets-of-ashburry,no
3913,doraemon-nobita-and-the-island-of-miracles,no
3914,sentimental-graffiti-first-window,no
3915,the-first-templar,no
3916,bleach-erabareshi-tamashii,no
3917,code-lyoko-fall-of-xana,no
3918,tokimeki-memorial-4,no
3919,boku-no-natsuyasumi-3-hokkoku-hen-chiisana-boku-no-dai-sougenamp8203,no
3920,12-sai-koisuru-diary,no
3921,tomb-raider-underworld,yes
3922,nanashi-no-game,no
3923,scooby-doo-whos-watching-who,yes
3924,deep-fear,no
3925,horrid-henrys-horrid-adventure,no
3926,virus,yes
3927,cate-west-the-vanishing-files,no
3928,lost-in-blue-shipwrecked,yes
3929,man-vs-wild,no
3930,ro-kyu-bu,no
3931,elebits-the-adventures-of-kai-and-zero,no
3932,disneys-planes,no
3933,agatha-christie-and-then-there-were-none,yes
3934,myst,yes
3935,boku-no-natsuyasumi-portable-2-nazo-nazo-shimai-to-chinbotsusen-no-himitsu,no
3936,animal-kingdom-wildlife-expedition,no
3937,chronicles-of-mystery-the-secret-tree-of-life,yes
3938,hakuouki-ds,no
3939,again,no
3940,real-sound-kaze-no-riguretto,no
3941,batman-a-telltale-game-series,no
3942,still-life,yes
3943,haikyuu-tsunage-itadaki-no-keshiki,no
3944,beyond-good-amp-evil,no
3945,nol-la-neige,no
3946,batman-a-telltale-game-series,no
3947,harukanaru-toki-no-naka-de-4,no
3948,csi-dark-motives,yes
3949,lupin-sansei-shijou-saidai-no-zunousen,no
3950,chaoschild,no
3951,goosebumps-horrorland,yes
3952,lets-ride-friends-forever,yes
3953,code-geass-hangyaku-no-lelouch-lost-colors,no
3954,hakuouki-yuugi-roku,no
3955,the-book-of-unwritten-tales-2,yes
3956,the-walking-dead-a-telltale-series-collection,no
3957,galerians-ash,yes
3958,12-sai-honto-no-kimochi,no
3959,vampire-knight-ds,no
3960,vampire-legends-power-of-three,no
3961,second-sight,no
3962,ecco-the-tides-of-time,yes
3963,classic-nes-series-metroid,yes
3964,shadowgate-64-trials-of-the-four-towers,yes
3965,gunparade-orchestra-shiro-no-shou,yes
3966,goodbye-deponia,yes
3967,lets-ride-dreamer,yes
3968,tomb-raider-legend,yes
3969,higurashi-no-nakukoru-ni-kizuna-dai-ichi-kan-tatari,no
3970,subnautica,no
3971,broken-sword-5-the-serpents-curse,yes
3972,higurashi-no-naku-koro-ni-matsuri-kakera-asobi,no
3973,suzumiya-haruhi-no-gekidou,no
3974,minecraft-story-mode,yes
3975,hikaru-no-go-heian-gensou-ibunroku,yes
3976,lifeline,yes
3977,jake-power-handyman,no
3978,ds-nishimura-kyotaro-suspense-2-shin-tantei-series-kanazawa-hakodate-gokkan-no-kyoukoku-fukushuu-no-kage,no
3979,hakuouki-junsouroku,no
3980,obscure,yes
3981,sherlock-holmes-crimes-amp-punishments,no
3982,hello-neighbor-hide-amp-seek,no
3983,freddi-fish-kelp-seed-mystery,no
3984,home-sweet-home-2017,no
3985,evergirl,no
3986,the-testament-of-sherlock-holmes,yes
3987,mahouka-koukou-no-rettousei-out-of-order,no
3988,batman-the-enemy-within,yes
3989,hello-neighbor-hide-amp-seek,no
3990,hello-neighbor-hide-amp-seek,no
3991,gambler-densetsu-tetsuya,no
3992,steinsgate-0,no
3993,yoake-yori-ruriiro-na-brighter-than-dawning-blue,no
3994,crime-lab-body-of-evidence,no
3995,flower-sun-and-rain,yes
3996,lost-in-blue-2,yes
3997,discworld,yes
3998,pirates-the-legend-of-black-kat,no
3999,july,no
4000,insecticide,no
4001,kanon,no
4002,akagawa-jirou-mystery-yasoukyoku-hon-ni-manekareta-satsujin,no
4003,sprung-a-game-where-everyone-scores,no
4004,meitantei-conan-aoki-houseki-no-rinbukyoku,no
4005,to-heart-2-dungeon-travelers,no
4006,code-geass-hangyaku-no-lelouch-lost-colors,no
4007,spy-fox-in-dry-cereal,yes
4008,secret-files-tunguska,yes
4009,alone-in-the-dark,yes
4010,higurashi-daybreak-portable,no
4011,sherlock-holmes-the-devils-daughter,yes
4012,another-code-r-a-journey-into-lost-memories,no
4013,kekkon-marriage,no
4014,kimikiss,no
4015,the-book-of-unwritten-tales-the-critter-chronicles,yes
4016,call-of-cthulhu-dark-corners-of-the-earth,yes
4017,greys-anatomy-the-video-game,no
4018,the-next-big-thing,no
4019,new-prince-of-tennis-go-to-the-top,no
4020,sherlock-holmes-the-devils-daughter,yes
4021,fosters-home-for-imaginary-friends-imagination-invaders,yes
4022,ico,no
4023,dc-ii-ps-da-capo-ii-plus-situation,no
4024,starry-sky-in-summer-psp-edition,no
4025,broken-sword-the-shadow-of-the-templars,yes
4026,adventure-time-the-secret-of-the-nameless-kingdom,yes
4027,tenchi-muyou-ryoukouki-gokuraku,no
4028,theresia,no
4029,game-of-thrones-a-telltale-games-series,yes
4030,policenauts,no
4031,outcast-second-contact,yes
4032,a-new-beginning,no
4033,rooms-the-main-building,no
4034,myst-iii-exile,yes
4035,vitamin-x-to-z,no
4036,gormiti-the-lords-of-nature,no
4037,winx-club-mission-enchantix,yes
4038,utawarerumono-itsuwari-no-kamen,no
4039,monkey-island-special-edition-collection,no
4040,kings-quest-the-complete-collection,no
4041,broken-sword-ii-the-smoking-mirror,yes
4042,myst,yes
4043,toaru-kagaku-no-chou-denjihou,no
4044,angelique-trois,yes
4045,kimikiss-ebkore,no
4046,gold-and-glory-the-road-to-el-dorado,no
4047,goosebumps-the-game,yes
4048,carmen-sandiego-the-secret-of-the-stolen-drums,yes
4049,the-invisible-hours,no
4050,unsolved-crimes,no
4051,life-is-strange,yes
4052,coraline,yes
4053,marvels-guardians-of-the-galaxy-the-telltale-series,yes
4054,hakuouki-reimeiroku,no
4055,pokepark-2-wonders-beyond,yes
4056,jirou-akagawa-majotachi-no-nemuri,no
4057,black-mirror,no
4058,lego-harry-potter-years-1-4,yes
4059,murder-she-wrote,no
4060,the-lost-chronicles-of-zerzura,no
4061,king-arthur,no
4062,jake-power-policeman,no
4063,myst-iv-revelation,yes
4064,samantha-swift-and-the-hidden-roses-of-athena,yes
4065,scribblenauts-mega-pack,no
4066,agatha-christies-the-abc-murders,no
4067,mr-beans-wacky-world-of-wii,no
4068,sherlock-holmes-crimes-amp-punishments,no
4069,shifters,no
4070,the-mysterious-case-of-dr-jekyll-and-mr-hyde,no
4071,brothers-a-tale-of-two-sons,no
4072,back-to-the-future-the-game,yes
4073,trick-x-logic-season-1,no
4074,dokidoki-majo-shinpan,no
4075,starry-sky-in-spring-psp-edition,no
4076,little-busters-converted-edition,no
4077,sam-amp-max-beyond-time-and-space,no
4078,taiho-shichauzo,no
4079,seaworld-adventure-parks-shamus-deep-sea-adventure,no
4080,the-idolmster-dearly-stars,no
4081,the-walking-dead-a-telltale-series-collection,no
4082,second-sight,no
4083,marriage-royale-prism-story,no
4084,syberia-iii,no
4085,detective-conan-prelude-from-the-past,no
4086,odoru-daisousasen-the-game-sensuikan-ni-sennyuu-seyo,no
4087,shinseiki-evangelion-2-tsukurareshi-sekai-another-cases,no
4088,corpse-party,yes
4089,chronicles-of-the-sword,no
4090,secret-files-tunguska,yes
4091,harukanaru-toki-no-naka-de-3,yes
4092,corpse-party-blood-covered-repeated-fear,no
4093,durarara-3-way-standoff,no
4094,tokimeki-memorial-girls-side-2nd-kiss,yes
4095,dont-starve,no
4096,lupin-iii-lupin-ni-wa-shi-o-zenigata-ni-wa-koi-o,no
4097,sherlock-holmes-crimes-amp-punishments,no
4098,white-album-tsuzurareru-fuyu-no-omoide,no
4099,harukanaru-toki-no-naka-de-yumenoukihashi,no
4100,yowamushi-pedal-asu-e-no-high-cadence,no
4101,dgray-man-kami-no-shitotachi,no
4102,ark-park,no
4103,koihime-musou,no
4104,kekkon-zenya,no
4105,tokimeki-memorial-girls-side-1st-love,no
4106,treasure-report-kikai-jikake-no-isan,no
4107,lego-indiana-jones-2-the-adventure-continues,yes
4108,detective-conan-marionette-symphony,no
4109,mampms-adventure,no
4110,batman-the-enemy-within,yes
4111,wii-de-asobu-chibi-robo,no
4112,to-heart-2-dx-plus,yes
4113,star-driver-kagayaki-no-takuto-ginga-bishounen-densetsu,no
4114,snoopy-vs-the-red-baron,yes
4115,crusader-no-remorse,yes
4116,kings-quest-the-complete-collection,no
4117,time-travelers,no
4118,shin-kamaitachi-no-yoru-11-hitome-no-suspect,no
4119,hiiro-no-kakera-ds,no
4120,arcana-famiglia-la-storia-della-aracana-famiglia,no
4121,jake-hunter-detective-story-ghost-of-the-dusk,yes
4122,the-misadventures-of-tron-bonne,yes
4123,march-of-the-penguins,no
4124,tokyo-twilight-ghost-hunters-daybreak-special-gigs,yes
4125,lux-pain,no
4126,kimi-ni-todoke-tsutaeru-kimochi,no
4127,greys-anatomy-the-video-game,no
4128,tomoyo-after-its-a-wonderful-life-cs-edition,no
4129,dolly-kanon-dokidoki-tokimeki-himitsu-no-ongaku-katsudou-start-desu,no
4130,shaun-the-sheep,yes
4131,zero-escape-the-nonary-games,yes
4132,dcfs-da-capo-four-seasons,no
4133,hanayori-danshi-koi-seyo-onago,no
4134,cat-quest,no
4135,black-mirror-2,no
4136,bs-log-partyamp9834,no
4137,king-arthur,no
4138,chicken-shoot,no
4139,uta-no-prince-sama-repeat-love,yes
4140,yahari-game-demo-ore-no-seishun-love-kome-wa-machigatteiru-zoku,no
4141,corpse-party-book-of-shadows,yes
4142,428-fuusa-sareta-shibuya-de,no
4143,tennis-no-oji-sama-dokidoki-survival-sanroku-no-mystic,no
4144,to-heart-2-portable,no
4145,runaway-a-twist-of-fate,no
4146,twilight-syndrome-kinjiratera-toshi-densetsu,no
4147,the-smurfs,no
4148,blood-will-tell-tezuka-osamus-dororo,no
4149,coraline,yes
4150,the-wolf-among-us,yes
4151,heavy-rain-move-edition,no
4152,kanuchi-shiroki-tsubasa-no-shou,no
4153,saki-portable,no
4154,renai-revenge,no
4155,sea-monsters-a-prehistoric-adventure,no
4156,secret-files-tunguska,yes
4157,diabolik-lovers-lunatic-parade,no
4158,negima-chou-mahora-taisen-kattoiin-keiyaku-shikkou-dechai-masuu,yes
4159,adventure-time-pirates-of-the-enchiridion,yes
4160,amnesia,no
4161,ncis,yes
4162,lego-indiana-jones-the-original-adventures,yes
4163,little-busters-converted-edition,no
4164,gormiti-the-lords-of-nature,no
4165,blue-legend-of-water,no
4166,shukufuku-no-campanella-portable,no
4167,chaoshead-love-chuchu,no
4168,game-of-thrones-a-telltale-games-series,yes
4169,12riven-the-psi-climinal-of-integral,yes
4170,alias-carnival-sacrament,no
4171,game-of-thrones-a-telltale-games-series,yes
4172,gakuen-hetalia-portable,no
4173,gray-matter,no
4174,scribblenauts-mega-pack,no
4175,haunted-casino,no
4176,arctic-tale,no
4177,syk-renshouden-portable,no
4178,cube-creator-dx,no
4179,here-they-lie,no
4180,imabikisou,no
4181,hakuouki-reimeiroku-portable,no
4182,reco-love-blue-ocean,no
4183,super-robot-gakuen,no
4184,dont-starve-giant-edition,yes
4185,clannad,no
4186,scribblenauts-mega-pack,no
4187,durarara-3way-standoff-alley,no
4188,hanaoni-koisomeru-koku-eikyuu-no-shirushi,no
4189,zac-to-ombra-maboroshi-no-yuuenchi,no
4190,shadow-of-the-colossus,no
4191,99-no-namida,no
4192,clannad,no
4193,ookami-to-koushinryou-boku-to-horo-no-ichinen,no
4194,time-travelers,no
4195,hercs-adventures,no
4196,dreamfall-the-longest-journey,yes
4197,blue-roses-yousei-to-aoi-hitomi-no-senshitachi,no
4198,blue-legend-of-water,no
4199,sherlock-holmes-secret-of-the-silver-earring,no
4200,csi-fatal-conspiracy,yes
4201,game-of-thrones-a-telltale-games-series,yes
4202,pajama-sam-you-are-what-you-eat-from-your-head-to-your-feet,no
4203,memories-off-6-t-wave,yes
4204,story-hour-fairy-tales,yes
4205,countdown-vampires,no
4206,hyakka-hyakurou-sengoku-ninpoujou,no
4207,echo-night-beyond,yes
4208,suzumiya-haruhi-no-tsuisou,no
4209,tenshou-gakuen-gekkouroku,no
4210,abzu,no
4211,aquanauts-holiday-kakusareta-kiroku,no
4212,harry-potter-and-the-order-of-the-phoenix,yes
4213,harry-potter-and-the-prisoner-of-azkaban,yes
4214,pia-carrot-e-youkoso-25,no
4215,da-capo-i-amp-ii-plus-situation-portable,no
4216,simple-ds-series-vol-15-the-kanshikikan-2-aratanaru-8-tsu-no-jiken-wo-touch-seyo,no
4217,chaoshead-noah,no
4218,harukanaru-toki-no-naka-de-3-unmei-no-meikyuu-aizouban,no
4219,teenage-zombies-invasion-of-the-alien-brain-thingys,no
4220,scarface-the-world-is-yours,yes
4221,clock-zero-shuuen-no-ichibyou-portable,no
4222,trick-x-logic-season-2,no
4223,hakuouki-zuisouroku,no
4224,punch-line,no
4225,negima-3-jikanme-koi-to-mahou-to-sekaiju-densetsu,no
4226,obscure,yes
4227,kisuato,no
4228,attack-on-titan-escape-from-certain-death,no
4229,hakuoki-shinkai-hana-no-shou,no
4230,shin-koihime-musou-otome-ryouran-sangokushi-engi-shu-hen,no
4231,secret-files-2-puritas-cordis,yes
4232,harukanaru-toki-no-naka-de-maihitoyo,no
4233,hakuouki-zuisouroku-ds,no
4234,detective-conan-prelude-from-the-past,no
4235,voodoo-chronicles-first-sign,no
4236,tokyo-majin-gakuen-kenfuuchou,no
4237,ozmafia-vivace-,no
4238,the-raven-remastered,no
4239,suzumiya-haruhi-no-tsuisou,no
4240,great-edo-blacksmith,no
4241,simple-ds-series-vol-8-the-kanshikikan-kinkyuu-shutsudou-jiken-genba-wo-touch-seyo,no
4242,harukanaru-toki-no-naka-de-yumenoukihashi-special,no
4243,tsuyo-kiss-mighty-heart,no
4244,steinsgate-0,no
4245,parfait,no
4246,mashiro-iro-symphony-mutsu-no-hana,no
4247,metal-gear-solid-the-essential-collection-jp-sales,no
4248,tail-concerto,no
4249,emma-at-the-farm,no
4250,night-head-the-labyrinth,no
4251,everblue-2,no
4252,safari-adventures-africa,no
4253,higurashi-no-naku-koro-ni-kizuna-dai-san-kan-rasen,no
4254,kings-quest-the-complete-collection,no
4255,nancy-drew-alibi-in-ashes,yes
4256,clannad,no
4257,the-void,no
4258,accel-world-ginyoku-no-kakusei,no
4259,vitamin-x-evolution,no
4260,arthur-and-the-invisibles,no
4261,black-mirror,no
4262,togainu-no-chi-true-blood,no
4263,chicken-shoot-2,no
4264,shin-hayarigami-2,yes
4265,accel-world-ginyoku-no-kakusei,no
4266,rampo,no
4267,hiiro-no-kakera-2-hisui-no-shizuku,no
4268,chaoshead-love-chuchu,no
4269,house-md,no
4270,moshi-kono-sekai-ni-kami-sama-ga-iru-to-suru-naraba,no
4271,to-loveru-trouble-waku-waku-rinkangakkou-hen,no
4272,midnight-mysteries-the-edgar-allan-poe-conspiracy,yes
4273,last-escort-club-katze,no
4274,shin-koihime-musou-otome-ryouran-sangokushi-engi-wei-hen,no
4275,otometeki-koi-kakumei-love-revo,no
4276,hallowed-legends-samhain,no
4277,kiniro-no-corda-3,no
4278,nil-admirari-no-tenbin-teito-genwaku-toukidan,no
4279,highschool-terra-story,no
4280,mother-goose-no-himitsu-no-yakata,no
4281,tantei-jinguuji-saburo-ds-kienai-kokoro,no
4282,stormlover,no
4283,dancing-blade-ii-tears-of-eden,no
4284,gochuumon-wa-usagi-desu-ka-wonderful-party,no
4285,hiiro-no-kakera-3-aoikuro-no-kusabi,no
4286,dokidoki-majo-shinpan-2,no
4287,dont-knock-twice,no
4288,to-loveru-trouble-doki-doki-rinkaigakkou-hen,no
4289,adventure-time-pirates-of-the-enchiridion,yes
4290,lux-pain-jp-sales,no
4291,tokimeki-memorial-girls-side-1st-love-plus,no
4292,story-hour-adventures,no
4293,suzumiya-haruhi-no-chokuretsu,no
4294,syk-renshouden,no
4295,hiiro-no-kakera-shin-tamayori-hime-denshou-piece-of-future,no
4296,dcif-da-capo-innocent-finale,no
4297,sukitomo-tsukiuta-12-memories,no
4298,the-inner-world,yes
4299,the-pillars-of-the-earth,no
4300,hakuouki,no
4301,taishou-moebius-line-vitable,no
4302,tv-anime-idolmster-cinderella-girls-g4u-pack-vol6,no
4303,drake-amp-josh-talent-showdown,no
4304,hayate-no-gotoku-nightmare-paradise,no
4305,senjou-no-waltz,no
4306,tago-akira-no-atama-no-taisou-dai-1-shuu-nazotoki-sekai-isshuu-ryokou,no
4307,higurashi-no-naku-koro-ni-kizuna-dai-yon-kan-kizuna,no
4308,the-great-mystery-hidden-object-package-5,no
4309,net-high,no
4310,sokukoku-no-kusabi-hiiro-no-kakera-3-portable,no
4311,syberia-ii,yes
4312,secret-files-2-puritas-cordis,yes
4313,storm-lover-2nd-v,no
4314,tago-akira-no-atama-no-taisou-dai-2-shuu-ginga-oudan-nazotoki-adventure,no
4315,nisenochigiri-omoide-no-saki-e,no
4316,grand-theft-auto-the-trilogy,yes
4317,in-cold-blood,no
4318,safari-adventures-africa,no
4319,the-island-of-dr-frankenstein,no
4320,tsuku-monogatari,no
4321,vitamin-z,no
4322,kaitou-tenshi-twin-angel-toki-to-sekai-no-meikyuu,no
4323,shin-koihime-musou-otome-ryouran-sangokushi-engi-wu-hen,no
4324,harukanaru-toki-no-naka-de-5-kazahanaki,no
4325,emily-archer-and-the-curse-of-tutankhamun,no
4326,diabolik-lovers-more-blood,no
4327,the-town-of-light,no
4328,syberia,yes
4329,wand-of-fortune-r2-jikuu-ni-shizumu-mokushiroku,no
4330,akane-iro-ni-somaru-saka-parallel,no
4331,wand-of-fortune-r,no
4332,otome-wa-oanesama-ni-koi-shiteru-portable-2-jin-no-elder,no
4333,starry-sky-in-winter-psp-edition,no
4334,saka-agari-hurricane-portable,no
4335,eco-creatures-save-the-forest,no
4336,kintaihi-shounen-no-jiken-kyakusen-eris-gou-no-sangeki,no
4337,jack-keane,yes
4338,the-raven-remastered,no
4339,mahou-sensei-negima-kagai-jugyou-otome-no-dokidoki-beachside,no
4340,the-pillars-of-the-earth,no
4341,clannad,no
4342,kuryuu-youma-gakuenki-recharge,no
4343,shin-hayarigami-2,yes
4344,the-town-of-light,no
4345,hakuoki-kyoto-winds,no
4346,clannad-mitsumi-mamoru-sakamichi-de-gekan,no
4347,rime,no
4348,zero-escape-zero-time-dilemma,yes
4349,galileo,no
4350,amatsumi-sora-ni-kumo-no-hatate-ni,no
4351,tsuki-ni-yori-sou-otome-no-sahou-hidamari-no-hibi,no
4352,prince-of-persia-2008,no
4353,shitsuji-ga-aruji-o-erabu-toki,no
4354,zettai-kaikyuu-gakuen-eden-with-roses-and-phantasm,no
4355,muvluv-double-pack,no
4356,captain-morgane-and-the-golden-turtle,no
4357,death-mark,no
4358,last-escort-2-shinya-no-amai-toge,no
4359,harukanaru-toki-no-naka-de-3-ultimate,no
4360,shakugan-no-shana,no
4361,wand-of-fortune-2-jikuu-ni-shizumu-mokushiroku,no
4362,hankou-shashin,no
4363,death-mark,no
4364,starry-sky-in-autumn-psp-edition,no
4365,osomatsu-san-the-game-hang-up-finding-employment-advice-dead-or-work,no
4366,tenkaichi-sengoku-lovers,no
4367,haitaka-no-psychedelica,no
4368,angelique-maren-no-rokukishi,yes
4369,doki-oki,no
4370,gakuen-alice-wakuwaku-happy-friends,no
4371,konohana-2-todoke-kanai-requiem,no
4372,idol-death-game-tv,no
4373,7scarlet,no
4374,strawberry-nauts,no
4375,death-note-l-o-tsugu-mono,no
4376,clover-no-kuni-no-alice,no
4377,otometeki-koi-kakumei-love-revo-portable,no
4378,syberia,yes
4379,captain-morgane-and-the-golden-turtle,no
4380,winx-club-rockstars,no
4381,kami-naru-kimi-to,no
4382,carmen-sandiego-the-secret-of-the-stolen-drums,yes
4383,magicka-collection,no
4384,lilpri-ds-hime-chen-apple-pink,no
4385,taishou-x-alice-all-in-one,no
4386,suran-digit,no
4387,canvas-2,no
4388,memories-off-sorekara-again,yes
4389,11eyes-crossover,no
4390,maji-kyun-renaissance,no
4391,cross-channel-in-memory-of-all-people,no
4392,clannad-mitsumi-mamoru-sakamichi-de-joukan,no
4393,are-you-alice,no
4394,okashi-na-shima-no-peter-pan-sweet-never-land,no
4395,syberia-iii,no
4396,gift-prism,no
4397,inkheart,no
4398,captain-morgane-and-the-golden-turtle,no
4399,vitamin-z-revolution,no
4400,aria-the-origination-aoi-wakusei-no-el-cielo,no
4401,zero-no-tsukaima-shou-akuma-to-harukaze-no-concerto,no
4402,suzumiya-haruhi-no-heiretsu,no
4403,nanatsuiro-drops-pure,no
4404,ghost-pirates-of-vooju-island,no
4405,zero-escape-the-nonary-games,yes
4406,la-noire-the-complete-edition,no
4407,dynamic-chord-feat-reve-parfait-v-edition,no
4408,vampire-mansion-linda-hyde,no
4409,kimi-ga-aruji-de-shitsuji-ga-ore-de-oshie-nikki,no
4410,american-mcgee-presents-scrapland,no
4411,harukanaru-toki-no-naka-de-3-with-izayoiki-aizouban,no
4412,dgray-man-sousha-no-shikaku,no
4413,ookami-to-koushinryou-omiowataru-kaze,no
4414,abzu,no
4415,school-days-lxh,no
4416,yuukyuu-no-tierblade-lost-chronicle,no
4417,neo-angelique,yes
4418,chaoshead-noah,no
4419,akogare-girls-collection-pika-pika-nurse-monogatari-shounika-haitsumo-oosawagi,no
4420,geten-no-hana-with-yume-akari-aizouban,no
4421,princess-saver-eternal-love-for-my-lady,no
4422,twinkle-crusaders-gogo,no
4423,ceville,no
4424,broken-sword-5-the-serpents-curse,yes
4425,hoshiori-yume-mirai-converted-edition,no
4426,428-fuusa-sareta-shibuya-de,no
4427,sangoku-koi-senki-omoide-gaeshi-cs-edition,no
4428,zathura,no
4429,happiness-de-lucks,no
4430,yunohana-spring-cherishing-time,no
4431,doki-majo-plus,no
4432,love-once-mermaids-tears,no
4433,dream-chronicles,yes
4434,heart-no-kuni-no-alice-anniversary-ver-wonderful-wonder-world,no
4435,caspers-scare-school-classroom-capers,no
4436,akai-ito-ds,no
4437,natsuiro-no-sunadokei,no
4438,koisuru-otome-to-shugo-no-tate-the-shield-of-aigis,no
4439,moujuutsukai-to-oujisama-portable,no
4440,indigo-prophecy,no
4441,otome-wa-oanesama-boku-ni-koi-shiteru-portable,no
4442,kuon,no
4443,umineko-no-naku-koro-ni-majo-to-suiri-no-rinbukyoku,no
4444,minecraft-story-mode-season-two,yes
4445,carmen-sandiego-the-secret-of-the-stolen-drums,yes
4446,dragons-lair,no
4447,i-doll-u,no
4448,ryu-koku,no
4449,gunparade-orchestra-midori-no-shou,yes
4450,greys-anatomy-the-video-game,no
4451,priministar,no
4452,grisaia-no-rakuen-le-eden-de-la-grisaia,no
4453,higurashi-daybreak-portable-mega-edition,no
4454,agatha-christie-the-abc-murders,yes
4455,plastic-memories,no
4456,renai-banchou-inochi-meishi-koiseyo-otome-love-is-power,no
4457,kaleidoeve,no
4458,gekka-ryouran-romance,no
4459,ore-no-yome-anata-dake-no-hanayome,no
4460,tale-of-a-hero,no
4461,final-approach-2-1st-priority,no
4462,back-to-the-future-the-game,yes
4463,moujuutsukai-to-oujisama-snow-bride,no
4464,meitantei-evangelion,no
4465,tsuyo-kiss-2-portable,no
4466,overlord,yes
4467,brain-dead-13,no
4468,mata-hari-betrayal-is-only-a-kiss-away,no
4469,aquanauts-holiday,yes
4470,negima-chou-mahora-taisen-chuu-checkiin-zenin-shuugou-yappari-onsen-kichaimashitaa,no
4471,nisenochigiri,no
4472,last-escort,no
4473,root-infinity-rexx,no
4474,aria-the-natural-tooi-yume-no-mirage,no
4475,gakuen-k-wonderful-school-days,no
4476,hakuouki-yuugi-roku-ds,no
4477,so-blonde,no
4478,code-r,no
4479,jake-hunter-detective-chronicles,yes
4480,uta-no-prince-sama-amazing-aria-amp-sweet-serenade-love,no
4481,jinguuji-saburou-ds-akai-chou,no
4482,meitantei-conan-kieta-hakase-to-machigai-sagashi-no-tou,no
4483,kimi-o-aogi-otome-wa-hime-ni,no
4484,largo-winch-commando-sar,no
4485,joker-no-kuni-no-alice,no
4486,princess-isabella-a-witchs-curse,yes
4487,kamigami-no-asobi-infinite,no
4488,runaway-a-twist-of-fate,no
4489,uta-no-prince-sama,yes
4490,hakuoki-yuugi-roku-taishitachi-no-daienkai,no
4491,crime-scene,no
4492,pastel-chime-continue,no
4493,code-realize-shukufuku-no-mirai,no
4494,konoyo-no-hate-de-koi-o-utau-shoujo-yu-no,no
4495,new-game-the-challenge-stage,no
4496,psychicemotion6,no
4497,shiro-to-kuro-no-alice,no
4498,stormlover-karen,no
4499,hakuoki-shinkai-twin-pack,no
4500,air,no
4501,hana-to-otome-ni-shukufuku-o-harekaze-no-okurimono,no
4502,akai-suna-ochiru-tsuki,no
4503,kazoku-keikaku,no
4504,aoishiro,no
4505,zettai-meikyuu-grimm-nanatsu-no-kagi-to-rakuen-no-otome,no
4506,astraea-no-shiroki-eien-white-eternity,no
4507,sousei-no-onmyouji,no
4508,seitokai-no-ichizon-ds-suru-seitokai,no
4509,prism-ark-awake,no
4510,revolution-25th-anniversary-collection,no
4511,rozen-maiden-duellwalzer,no
4512,la-noire-the-complete-edition,no
4513,snow-portable,no
4514,broken-sword-the-sleeping-dragon,yes
4515,the-testament-of-sherlock-holmes,yes
4516,miyako,no
4517,motto-nuga-cel,no
4518,11eyes-crossover,no
4519,still-life-2,yes
4520,barbie-as-the-princess-and-the-pauper,no
4521,diabolik-lovers-lost-eden,no
4522,horrid-henry-missions-of-mischief,no
4523,tantei-opera-milky-holmes,no
4524,adventure-time-pirates-of-the-enchiridion,yes
4525,back-to-the-future-the-game,yes
4526,rezero-kara-hajimeru-isekai-seikatsu-death-or-kiss,no
4527,kadenz-fermataakkordfortissimo,no
4528,arabians-lost-the-engagement-on-desert,no
4529,tsuki-no-hikari-shizumeru-kane-no-satsujin,no
4530,air,no
4531,koisuru-otome-to-shugo-no-tate-portable,no
4532,shirogane-x-spirits,no
4533,kono-subarashii-sekai-ni-shukufuku-o-kono-yokubukai-game-ni-shinpan-o,no
4534,bakumatsu-renka-karyuu-kenshi-den,no
4535,shounen-onmyouji-tsubasa-yoima-ten-e-kaere,no
4536,princess-frontier-portable,no
4537,touch-detective-jp-sales,no
4538,flowers-autumn-story,no
4539,saka-agari-hurricane-portable,no
4540,uru-ages-beyond-myst,no
4541,machi-unmei-no-kousaten,no
4542,clover-no-kuni-no-alice,no
4543,ga-geijutsuka-art-design-class-slapstick-wonder-land,no
4544,planetarian-chiisana-hoshi-no-yume,no
4545,roommate-asami-okusama-wa-joshikousei,no
4546,pirates-legend-of-the-black-buccaneer,no
4547,sherlock-holmes-the-devils-daughter,yes
4548,chaoschild,no
4549,amagoushi-no-yakata,no
4550,ginga-tetsudou-999-ds,no
4551,suzunone-seven-rebirth-knot,no
4552,vitamin-x-evolution-plus,no
4553,memories-off-yubikiri-no-kioku,yes
4554,chaoschild,no
4555,minecraft-story-mode-season-two,yes
4556,otometeki-koi-kakumei-love-revo-ds,no
4557,crosschannel,no
4558,zero-no-tsukaima-muma-ga-tsumugu-yokaze-no-nocturne,no
4559,kiss-bell,no
4560,discworld-ii-mortality-bytes,no
4561,gun-gun-pixies,no
4562,agatha-christie-death-on-the-nile,yes
